variant,epsilon,rep,spearman_rho,spearman_p,qini_coef,auuc,n_synth,treat_ratio_synth,conv_rate_synth,is_degenerate
size_75,10.0,8,0.3758263512387365,0.0,8.491451291003159,0.051913563304904035,33601,0.6670337192345466,0.00901758876223922,0
size_75,10.0,9,0.37519012520794015,0.0,9.721865010838883,0.052195787009900525,33600,0.6670833333333334,0.009047619047619047,0
size_75,inf,0,0.37797676802718166,0.0,11.600815823026892,0.05278344050483021,33599,0.6670734248043096,0.009018125539450578,0
size_75,inf,1,0.37746221436232447,0.0,9.931002134929827,0.05244175074776692,33600,0.6670833333333334,0.008988095238095238,0
size_75,inf,2,0.37453053716674445,0.0,8.524246813826494,0.05183703066682291,33599,0.6670734248043096,0.009018125539450578,0
size_75,inf,3,0.3738546455944113,0.0,10.270083075424623,0.053023390493548546,33599,0.6670734248043096,0.009018125539450578,0
size_75,inf,4,0.38527224996688425,0.0,13.531905512746789,0.053028888286082536,33599,0.6671031875948689,0.008988362748891336,0
size_75,inf,5,0.3816724527513768,0.0,11.35668805244552,0.05289672177335239,33599,0.6671031875948689,0.009018125539450578,0
size_75,inf,6,0.3800303139408814,0.0,9.224922783710895,0.05220425786089972,33599,0.6670734248043096,0.008958599958332094,0
size_75,inf,7,0.3759672588895026,0.0,12.476970354104537,0.05269220089990966,33599,0.6671031875948689,0.009018125539450578,0
size_75,inf,8,0.38260929697107743,0.0,9.09299022278799,0.05229136025836564,33600,0.6670833333333334,0.009017857142857143,0
size_75,inf,9,0.3786396325491655,0.0,10.489088875147672,0.052251440581911,33600,0.6670833333333334,0.009017857142857143,0
size_100,0.1,0,0.10810391180512166,5.239027113803498e-51,6.996253124025316,0.05277097904016757,44722,0.6642368409284022,0.011247260855954564,0
size_100,0.1,1,-0.07941239517180528,3.0472049468879126e-28,-23.67709168002773,0.05164602489992152,44807,0.6657888276385386,0.008860222733055104,0
size_100,0.1,2,0.06075516602247555,3.585438160998823e-17,-12.662861681411528,0.04786742510568197,44725,0.6690217998882056,0.009189491335941867,0
size_100,0.1,3,0.12179764411084062,2.329350090038631e-64,23.2568849725493,0.052758634564480704,44744,0.6672626497407473,0.006861255140354014,0
size_100,0.1,4,0.045114281807977254,4.0008290763492464e-10,-3.122047468767505,0.04849736989433471,44667,0.6704278326281147,0.00830590816486444,0
size_100,0.1,5,0.0886628836823598,8.108513490251123e-35,3.615424965154034,0.04944346076755966,44668,0.6681069221814274,0.012514551804423749,0
size_100,0.1,6,-0.09490858042749223,1.1466299037393242e-39,-14.360949312812124,0.053130220986369214,44845,0.6686587133459695,0.012264466495707437,0
