variant,epsilon,rho_mean,rho_sd,qini_mean,qini_sd,auuc_mean,auuc_sd,n_reps,n_degenerate
size_25,2.0,-0.13753227816150032,0.09685096156906123,-32.91099008051128,6.568811843782729,0.04979911719989833,0.0011447871296707383,10,0
size_25,5.0,-0.20308395170344737,0.06688215044267502,-36.76923887526485,5.517366361017884,0.04935719588272652,0.0011190351706513021,10,0
size_25,inf,-0.2142827910204174,0.05888017448532502,-36.8468036638552,7.360303312493991,0.04951145120330529,0.001435058377793438,10,0
size_50,0.1,0.3521782075904604,0.12331979969434051,-7.69121802002652,18.426842568661222,0.05302551624511588,0.002934348068899428,10,9
size_50,0.5,-0.14545945859725742,0.051377904754436876,-32.93448165609882,13.44640589120581,0.050849206085720564,0.0031050125295670563,10,0
size_50,1.0,-0.23272713603786296,0.01963131372951085,-26.883758351906106,6.410126206241642,0.05586316954258371,0.0011176945891196498,10,0
size_50,10.0,-0.2503315585756058,0.016388921549674997,-22.51488626867278,5.065998508110735,0.05674901428957367,0.0005135840455664797,10,0
size_50,2.0,-0.24341057995520088,0.016681561956372055,-26.08030369004349,3.4228879168103212,0.05620598568529885,0.0005425864828579068,10,0
size_50,5.0,-0.2501301661523286,0.014271767998263383,-22.999323795593902,4.1470119427498515,0.056639995871208174,0.0006269828165866756,10,0
size_50,inf,-0.24710745555513514,0.01091933279493194,-24.157880048374,2.4563372129790744,0.056692323753518306,0.0003957869868084684,10,0
size_75,0.1,0.25973497775383414,0.2337960165038799,0.7685690811203699,20.53673339911005,0.05213472063722165,0.002737947221926087,10,5
size_75,0.5,0.2824092920920885,0.199808403460642,5.44572470741466,15.11497622526748,0.053710791474112986,0.004108191728631986,10,0
size_75,1.0,0.3613354715878002,0.042886176597652995,13.546333291380098,9.212958353346265,0.054214913076707935,0.003946229450699155,10,0
size_75,10.0,0.379593024422867,0.004167503722138457,10.510843113542228,1.3856537761157588,0.05239913374445915,0.0002947172023775737,10,0
size_75,2.0,0.379560283237493,0.008528711659116032,10.902622031443173,2.5575057390340024,0.05252791630633395,0.00037834896950160435,10,0
size_75,5.0,0.3794656091801275,0.004720344297777042,10.639648092282822,1.5527730274062903,0.0524649289028004,0.00028287413606616,10,0
size_75,inf,0.37880153702195496,0.003641851801832635,10.649871364815123,1.5884232903311197,0.052545048207348954,0.00040051798964503674,10,0
