variant,epsilon,rep,spearman_rho,qini_coef,is_degenerate
size_70,0.1,6,0.6077855782884346,18.62296014928097,1
size_70,0.1,7,0.3963049321134812,-22.51981122561847,1
size_70,0.1,8,0.5100860849299125,-4.045425301301748,1
size_70,0.1,9,0.05788904634254943,-35.971641628862926,1
size_70,0.5,0,0.31484290831532297,36.577214334908035,0
size_70,0.5,1,0.33167727318907536,17.621964995282156,0
size_70,0.5,2,0.2306907385486497,30.101336852202053,0
size_70,0.5,3,0.25536558637213386,8.753552809218945,0
size_70,0.5,4,0.3626262498782412,-1.0758920230550757,0
size_70,0.5,5,0.38260340429732514,12.245112761970745,0
size_70,0.5,6,0.31318722500101004,27.47043423267212,0
size_70,0.5,7,0.2907195921889685,13.86218719683177,0
size_70,0.5,8,0.25999230382594296,31.811563329865066,0
size_70,0.5,9,0.3440755276880413,19.443298501640584,0
size_70,1.0,0,0.30612333430777755,35.18256033658565,0
size_70,1.0,1,0.3524246055090513,25.57289053540535,0
size_70,1.0,2,0.38971077348730865,10.346124410666334,0
size_70,1.0,3,0.2846733834350348,21.27360012007523,0
size_70,1.0,4,0.37907459278279027,3.675256156391697,0
size_70,1.0,5,0.394103424706737,14.424908087013932,0
size_70,1.0,6,0.2924564691669008,35.515393617412315,0
size_70,1.0,7,0.2604462729070038,25.058706268532205,0
size_70,1.0,8,0.28662370150847205,30.93908609997368,0
size_70,1.0,9,0.3115574243698927,17.597124450535148,0
size_70,2.0,0,0.2774258214950954,32.54944383164798,0
size_70,2.0,1,0.3004741716304226,33.26614232812881,0
size_70,2.0,2,0.23217220788939463,27.713924104068383,0
size_70,2.0,3,0.2730921362944607,30.52893568553452,0
size_70,2.0,4,0.3820056634151307,9.796761879895143,0
size_70,2.0,5,0.26328611168262916,37.02137978531891,0
size_70,2.0,6,0.2919931141459554,30.365014356640472,0
size_70,2.0,7,0.25684396912632035,29.700998828173056,0
size_70,2.0,8,0.2919628702058441,28.271372945100893,0
size_70,2.0,9,0.2974257570487028,22.368366454320267,0
size_70,5.0,0,0.285086382318939,34.18511115158799,0
size_70,5.0,1,0.28876207019774275,30.281768512952453,0
size_70,5.0,2,0.25399983904526335,32.450006605696444,0
size_70,5.0,3,0.2709697147057196,34.35666850896553,0
size_70,5.0,4,0.2857164950165959,35.73456827280222,0
size_70,5.0,5,0.29490335340639284,35.80929628619185,0
size_70,5.0,6,0.2581882746643503,28.483493185970474,0
size_70,5.0,7,0.25004092987722726,34.48220331629409,0
size_70,5.0,8,0.2854558656610857,25.51519818261295,0
size_70,5.0,9,0.27661331519147114,24.22831162313298,0
size_70,10.0,0,0.2869228670516176,33.09520410819596,0
size_70,10.0,1,0.2745918312901672,31.32653480811041,0
size_70,10.0,2,0.24793463450882808,33.892671898586514,0
size_70,10.0,3,0.26776754659246405,40.464815873058114,0
size_70,10.0,4,0.2787080064378943,37.24798409004404,0
size_70,10.0,5,0.280194428289119,31.263870594020204,0
size_70,10.0,6,0.27268254536805725,38.86160636460795,0
size_70,10.0,7,0.25691769460985897,38.00967324083274,0
size_70,10.0,8,0.26893310324963454,34.02679958317674,0
size_70,10.0,9,0.27527459897860457,20.486019767057428,0
size_70,inf,0,0.28199201976268434,34.660702517747495,0
size_70,inf,1,0.26894599160585264,28.08748912405349,0
size_70,inf,2,0.2673554199090802,31.187998114445236,0
size_70,inf,3,0.2775879761949517,38.28070534764345,0
size_70,inf,4,0.2675493809192338,28.601842246593606,0
size_70,inf,5,0.28507758979597914,35.70982153675868,0
size_70,inf,6,0.27587320934525067,31.885071830106313,0
size_70,inf,7,0.26228586821818084,36.56212989534856,0
size_70,inf,8,0.2617705237585694,33.12302776972149,0
size_70,inf,9,0.26521562862543485,27.460190322225117,0
imbalance_10,0.1,0,0.1407610946648439,14.027928414578241,0
imbalance_10,0.1,1,0.10826213405800073,-0.6712200369136099,0
imbalance_10,0.1,2,0.04116848939515534,-1.6042789276726808,0
imbalance_10,0.1,3,0.09749101917527307,-10.54462362775456,0
imbalance_10,0.1,4,0.01219600452956246,-13.386989827227751,0
imbalance_10,0.1,5,0.30856467636336066,-36.06272988018276,1
imbalance_10,0.1,6,0.3700737426014767,-14.264326347972371,1
imbalance_10,0.1,7,0.25736400139161364,-35.0419410896975,1
imbalance_10,0.1,8,0.33009954482485077,-16.59354017631341,1
imbalance_10,0.1,9,0.07640862647248103,-0.22617278468783297,0
imbalance_10,0.5,0,0.12049278909733023,15.013426370721163,0
imbalance_10,0.5,1,0.11622241400284974,6.234320070606827,0
imbalance_10,0.5,2,0.16982531688110192,9.048918893776545,0
imbalance_10,0.5,3,0.21040525506407715,14.928961013884646,0
imbalance_10,0.5,4,0.1918026690406716,13.674551027635289,0
imbalance_10,0.5,5,0.1176380351170396,6.737810145255025,0
imbalance_10,0.5,6,0.15790312253656186,7.3408875397808515,0
imbalance_10,0.5,7,0.17618328588871981,9.232821476564595,0
imbalance_10,0.5,8,0.09269780465679767,6.084976614272023,0
imbalance_10,0.5,9,0.2232787511686296,13.534419586006493,0
imbalance_10,1.0,0,0.10308019856269446,11.660346826412479,0
imbalance_10,1.0,1,0.14231752742474066,18.654855108548418,0
imbalance_10,1.0,2,0.12746537265364694,11.474980827846366,0
imbalance_10,1.0,3,0.1859145027128129,11.646463138260742,0
