arm,epsilon,rep,spearman_rho,qini_coef,is_degenerate
womens,1.0,8,-0.23270120809576797,-4.677180695008531,0
womens,1.0,9,-0.20877109642261185,-6.176523873358008,0
womens,2.0,0,-0.2155287336598312,-1.8777704908568467,0
womens,2.0,1,-0.19347397404232844,2.798748115630758,0
womens,2.0,2,-0.16880312050713897,-2.5292905798707466,0
womens,2.0,3,-0.21912095240574794,0.01133045827219803,0
womens,2.0,4,-0.20604566705768604,3.7595759740198105,0
womens,2.0,5,-0.19531271046921259,-1.8177827724182407,0
womens,2.0,6,-0.19300821543584037,0.11026896931622332,0
womens,2.0,7,-0.18538521615001569,1.5782566346960607,0
womens,2.0,8,-0.20991631260875698,-4.57894174919403,0
womens,2.0,9,-0.18515612348228178,-2.8703286293029464,0
womens,5.0,0,-0.19606896328533086,-4.236279709050336,0
womens,5.0,1,-0.1902046997346593,1.5972448337853393,0
womens,5.0,2,-0.17434906819796078,-2.7513026023802354,0
womens,5.0,3,-0.21299391153826858,-0.5997897387321132,0
womens,5.0,4,-0.19514500783502509,3.8199134750731787,0
womens,5.0,5,-0.20113858161039555,-0.9710340153996526,0
womens,5.0,6,-0.18374810016042303,-1.7040034847176457,0
womens,5.0,7,-0.192134634797627,-0.5804767415004903,0
womens,5.0,8,-0.1839417769919903,1.7876514986000984,0
womens,5.0,9,-0.18988550804083068,1.2456633369641281,0
womens,10.0,0,-0.20214805315913836,-3.3974010608648655,0
womens,10.0,1,-0.186204979808672,0.6635001435709,0
womens,10.0,2,-0.1613978744519601,-1.4020161657808785,0
womens,10.0,3,-0.2267106029035549,-0.7955930496038377,0
womens,10.0,4,-0.18267151196607703,2.8991856950239026,0
womens,10.0,5,-0.21352750740725326,0.83271997571768,0
womens,10.0,6,-0.19427179748582496,-1.3614913514088585,0
womens,10.0,7,-0.19255719690675244,-0.8340691372321203,0
womens,10.0,8,-0.17072121322098074,-4.033555699299939,0
womens,10.0,9,-0.18984426989339534,1.4491118964165821,0
womens,inf,0,-0.20302478479499536,-5.293022957312644,0
womens,inf,1,-0.17821277309457925,3.138511956966056,0
womens,inf,2,-0.18729443735957949,-3.401298638572598,0
womens,inf,3,-0.20886717426782356,1.4349706849895938,0
womens,inf,4,-0.19072184007960405,0.007432880564408606,0
womens,inf,5,-0.20137340135851614,1.8101375238373976,0
womens,inf,6,-0.19465388738389097,-0.5287588834547705,0
womens,inf,7,-0.19337935950523255,0.1849975265215562,0
womens,inf,8,-0.1825247008250994,-1.4124596752800471,0
womens,inf,9,-0.18661487957446327,2.0217310213201927,0
